1	v1	1	1	2	2	-2.4163567	1.0559262
1	v2	1	1	2	2	-1.2950244	1.2559657
1	v3	1	1	2	2	-1.8516956	1.4254093
1	v4	1	1	2	2	-0.9537447	0.4564717
1	v5	1	1	2	2	-1.0033405	1.8049747
1	v6	1	1	2	2	-1.6130791	1.1902799
1	v7	1	1	2	2	-1.2752937	1.6677301
1	v8	1	1	2	2	-1.6187413	1.4971412
1	v9	1	1	2	2	-1.2500733	1.3436963
1	v10	1	1	2	2	-1.6449210	1.2720275
1	v11	1	1	2	2	-1.2434016	0.8506854
1	v12	1	1	2	2	-0.9906872	1.6257184
1	v13	1	1	2	2	-0.6597411	1.2334957
1	v14	1	1	2	2	-0.8210666	1.6382567
1	v15	1	1	2	2	-0.7734564	0.8309574
1	v16	1	1	2	2	-0.0969775	0.4622499
1	v17	1	1	2	2	-0.4585118	0.7772647
1	v18	1	1	2	2	-0.0328823	0.5457982
1	v19	1	1	2	2	-0.4491603	1.3336938
1	v20	1	1	2	2	0.5954132	0.6763294
1	v21	1	1	2	2	-0.4949021	1.5201824
1	v22	1	1	2	2	-0.6445761	1.0002073
1	v23	1	1	2	2	0.3620164	1.0838090
1	v24	1	1	2	2	-0.4400826	0.8723331
1	v25	1	1	2	2	-0.5856706	0.8868086
1	v26	1	1	2	2	0.0588518	1.0976483
1	v27	1	1	2	2	-0.6335881	0.9503654
1	v28	1	1	2	2	-0.9800112	0.5884900
1	v29	1	1	2	2	-0.8609165	0.9759956
1	v30	1	1	2	2	0.2664579	1.0022463
1	v31	1	1	2	2	-0.4006638	1.0642511
1	v32	1	1	2	2	0.3647430	1.1117893
1	v33	1	1	2	2	0.6027369	0.7523306
1	v34	1	1	2	2	0.6827532	1.4288424
1	v35	1	1	2	2	-1.4508898	1.1642680
1	v36	1	1	2	2	-0.0444895	1.1116215
1	v37	1	1	2	2	0.0426592	0.8716507
1	v38	1	1	2	2	0.2558640	0.6441792
1	v39	1	1	2	2	0.5753919	0.8526065
1	v40	1	1	2	2	1.3766365	0.6413055
0	G1	1	1	0	0.0000000	1.0000000
