      ThetaG      Theta2      Theta3      Theta4      Ex_Raw    Ex_Scale    Raw_CSEM  Scale_CSEM
    -1.11989     0.92830     0.50442    -0.30353    18.04307    67.53789     2.50827     1.98069
    -0.01899    -0.12609    -1.24208    -1.11137    18.74506    68.09403     2.46482     2.04052
     1.22823     0.55257     0.36535    -1.22991    24.70995    73.78260     1.97767     2.12062
     0.42671    -1.98878    -1.52236    -1.40978    18.33901    67.76510     2.45868     1.98038
     1.73927    -2.17271    -0.74897     1.34649    25.09432    74.19532     1.94183     2.12454
     2.74363    -0.13626    -0.38740     1.58558    28.04472    77.67650     1.49636     1.85041
     1.03447    -0.05733     2.13587     0.41860    25.64047    74.80014     1.88487     2.13775
    -1.04081    -0.45338     0.03380     0.43995    16.91861    66.70017     2.61026     1.93641
    -2.00262    -1.15539    -0.30667     1.51873    11.41748    62.86879     2.56325     1.84982
     0.51522     0.08442     1.21469     1.88230    25.08491    74.19127     1.98784     2.17705
    -0.62923    -0.79824     0.35593    -0.44322    18.26371    67.71000     2.49510     1.99948
    -1.33026    -1.01740    -1.56460    -0.80760    11.39005    62.85013     2.54287     1.83668
    -1.25341    -0.59688     0.73110     1.32996    17.33765    67.00557     2.56181     1.94072
    -0.61016     1.74778    -1.40557    -0.36319    18.00787    67.50491     2.46330     1.94017
    -0.08383     0.55795    -0.33580    -0.19922    21.09272    70.16630     2.38741     2.25880
    -0.03032     0.05357    -1.59222     0.99273    19.89676    69.07435     2.44050     2.17320
     1.29696     2.94910    -0.68517    -0.09007    26.00095    75.21768     1.89670     2.19953
    -1.63658    -0.82972    -0.43449    -0.27071    12.08009    63.33636     2.60007     1.84592
     0.97383     0.96260    -1.38620     1.61176    24.52405    73.59460     2.08959     2.22522
     1.60752     1.29308    -0.10045    -1.14170    25.71371    74.88351     1.88207     2.14513
    -0.86438    -1.09638    -0.36349    -0.28660    15.93358    65.99471     2.61390     1.86142
     1.63262    -0.14730    -0.56697     1.04255    26.11539    75.34808     1.86957     2.18464
     0.89538    -1.15433     1.13728    -0.65626    23.57457    72.60092     2.08520     2.13583
     0.56783    -0.46822     0.31732    -0.61518    22.81831    71.83962     2.19559     2.20260
