"kValue" "RelEAPPoly.x" "RelEAPPoly.y" "RelMLEPoly"
"1" 1 0.901198437133154 0.903600808377452 0.878932727663176
"2" 2 0.913030028063446 0.911372780850879 0.894041947028116
"3" 3 0.894130401936436 0.890314100707529 0.872849752350852
"4" 4 0.898738475544815 0.893035101545138 0.875953381465552
"5" 5 0.900355402757954 0.894596119121344 0.878017635207656
"6" 6 0.899510028379752 0.894616323705269 0.877225480069219
"7" 7 0.896505377287019 0.893515115834499 0.871244411170069
"8" 8 0.895661061299361 0.893082359903253 0.869576825789527
"9" 9 0.89855472006576 0.894054223455327 0.87536140656527
"10" 10 0.899339401607659 0.89421864043746 0.876990196537269
"11" 11 0.886765729086255 0.889045694726472 0.853909188479494
"12" 12 0.603543708631909 0.777119030874166 0.317000464548151
"13" 13 0.798601858160165 0.853988001626966 0.686657943269576
"14" 14 0.834113205782268 0.8683940182188 0.752837591274267
