      Theta1      Theta2      Theta3      Ex_Raw    Ex_Scale    Raw_CSEM  Scale_CSEM
    -0.34331    -0.34657    -0.21188    20.11365    69.26292     2.46643     2.24050
    -0.53086    -0.49414    -0.42848    19.26457    68.51577     2.51235     2.18716
     0.59299     0.63369     1.19253    24.13549    73.18530     2.11592     2.21491
     1.18814     1.07419    -0.53597    23.67835    72.70469     2.03722     2.09208
    -0.42674     0.14746    -0.92900    20.17361    69.30706     2.37660     2.16917
     0.02552    -0.24796    -0.51982    20.58986    69.69354     2.40973     2.23971
    -0.19832    -0.33334     0.21839    20.77145    69.86603     2.44012     2.28343
    -1.06380    -1.01930    -0.53213    16.85254    66.55619     2.61915     2.05423
    -0.37327    -0.40773    -0.98397    19.17842    68.43707     2.47633     2.14604
     0.26304     0.73675    -0.97471    21.94082    70.96723     2.18805     2.14659
    -1.05459    -0.76035    -1.56082    16.52495    66.29971     2.56324     1.98702
     1.43668     1.69917    -0.52337    24.31422    73.35789     1.93033     2.02626
    -1.11989    -0.87151    -0.49194    17.16018    66.79532     2.60591     2.06501
    -0.30353    -0.29954    -0.26315    20.22738    69.36490     2.45411     2.24176
    -1.24208    -1.46770     0.57157    16.27136    66.10934     2.62010     2.01951
     0.55257     0.62274    -0.75170    22.38852    71.40898     2.17872     2.16260
     0.42671    -0.05062    -0.39575    21.61152    70.65595     2.32610     2.25205
    -1.40978    -0.96353    -2.96875    14.22706    64.58523     2.49559     1.83454
    -0.74897    -0.41301     1.34676    20.51448    69.62905     2.45839     2.27431
    -0.13626    -0.22314     1.26858    21.90937    70.94925     2.36664     2.30996
     1.03447     0.99232     2.26203    25.56405    74.71995     1.93377     2.18150
     0.41860     0.16337     0.17018    22.48731    71.51318     2.27437     2.26114
     0.03380     0.13583    -1.66600    20.16788    69.29298     2.29784     2.10002
    -1.15539    -1.19507     0.62303    17.23989    66.85850     2.61164     2.07626
     0.51522     0.52067     1.21295    23.92605    72.96859     2.14502     2.22773
     1.88230     1.68274     0.60664    25.64326    74.80038     1.86197     2.11349
     0.35593     0.24230    -0.71531    21.68898    70.72710     2.27387     2.20968
    -1.01740    -1.35534    -0.76503    15.80863    65.75942     2.63272     2.00443
    -1.25341    -1.35830     0.03426    16.08143    65.96578     2.63621     2.02158
     1.32996     1.15020     2.27849    25.95882    75.16554     1.87540     2.17101
    -1.40557    -1.45154    -0.75184    14.74953    64.97241     2.64006     1.96251
     0.55795     0.46386     0.25052    23.14963    72.17431     2.19708     2.22529
    -0.03032    -0.01694    -1.27425    20.19288    69.32228     2.35540     2.15246
     0.99273     1.26871     2.49658    25.85446    75.04490     1.87863     2.16043
    -0.68517    -0.68722    -1.63578    17.35672    66.94362     2.52603     2.01152
    -0.82972    -0.90836    -0.55523    17.58601    67.13139     2.59567     2.09022
     0.97383     1.17209    -0.80373    23.30067    72.31883     2.04160     2.07302
     1.61176     1.94324     1.46487    26.20619    75.44550     1.80215     2.12470
    -0.10045    -0.36488    -0.41323    20.26910    69.40202     2.44565     2.23881
    -1.09638    -1.15101    -0.73676    16.23253    66.08016     2.62881     2.02374
     1.63262     1.55279     0.51319    25.32487    74.44726     1.90399     2.11619
     1.04255     1.22316    -0.56562    23.63883    72.66365     2.02973     2.08144
     1.13728     0.95209     1.26268    25.05084    74.15524     1.99584     2.18296
    -0.46822    -0.38095    -0.83056    19.22483    68.47799     2.48375     2.15773
    -0.78354    -1.17300     0.71713    18.11933    67.56136     2.58826     2.13266
    -1.54792    -1.08270    -1.29732    14.91268    65.09123     2.61227     1.94789
    -0.38139    -0.47542     0.87498    20.70794    69.80881     2.45985     2.29453
     3.07685     2.63500     1.41894    27.22262    76.66255     1.62912     2.03140
    -0.20401     0.02412     0.42699    21.61600    70.66348     2.36432     2.28677
     1.18154     1.18391     0.10565    24.36826    73.42188     2.01268     2.12373
     1.79485     1.90703     2.93540    27.03362    76.43360     1.68135     2.07658
    -0.40078    -0.41233     0.74466    20.71218    69.81240     2.45633     2.29184
     0.49429     0.43067     1.12678    23.72714    72.76401     2.16982     2.23789
    -1.40618    -1.57067    -1.97278    13.26226    63.89305     2.58868     1.87926
     2.88112     2.64070     2.24361    27.59798    77.12578     1.57531     1.97167
    -1.88819    -2.08035    -1.11280    11.72689    62.79240     2.55647     1.87102
    -1.22375    -1.37365    -0.48463    15.60937    65.61019     2.64109     2.00114
     0.11021     0.33159     0.51564    22.63358    71.65854     2.26440     2.26023
     0.12343     0.07823     0.73277    22.44093    71.46899     2.30359     2.28619
     1.19627     0.65837     0.47968    24.21185    73.26312     2.08497     2.18864
    -0.01826    -0.25297     0.53728    21.48096    70.53558     2.39415     2.30357
     0.77790     1.03221     0.62245    24.30662    73.36066     2.05782     2.16765
    -1.01372    -0.99121    -0.34701    17.20812    66.83364     2.61420     2.07571
     1.01430     1.01997     0.64250    24.54315    73.60960     2.03309     2.16471
    -1.10506    -0.98108    -0.25956    17.13214    66.77412     2.61622     2.07170
    -0.67107    -0.32438    -0.33359    19.46443    68.68764     2.49385     2.19334
    -0.26025     0.08692    -1.71328    19.59707    68.78560     2.33809     2.07266
     0.79584     0.74943     0.17738    23.67555    72.70732     2.12077     2.18178
    -0.71183    -0.43227    -0.36975    19.12560    68.39636     2.51674     2.17554
     0.13988    -0.34549     0.32476    21.33795    70.39884     2.40211     2.29955
    -0.62023    -0.57767    -0.72752    18.62040    67.96967     2.53281     2.13462
    -1.87170    -2.17524    -1.07603    11.57122    62.68005     2.54430     1.86837
     1.21975     1.12494     1.90512    25.65922    74.82592     1.91633     2.17539
    -0.04760     0.23862    -0.82344    21.02582    70.09365     2.31943     2.20027
    -2.43802    -2.68474     0.41670    10.85412    62.16684     2.37106     1.77026
    -1.44947    -1.77647    -1.19271    13.34074    63.94993     2.61335     1.89961
     2.65821     2.64197     2.45022    27.58999    77.11610     1.57534     1.97224
    -0.24651    -0.12473    -1.28952    19.65106    68.84072     2.40004     2.13245
     0.77599     0.36510     0.05255    23.07736    72.10112     2.19833     2.22205
     0.31147     0.58382     0.44201    23.16596    72.19081     2.19610     2.22521
    -0.71737    -0.92305     0.08344    18.36913    67.76613     2.58316     2.15277
    -0.60050    -0.68451     1.48693    20.26276    69.40069     2.48466     2.27183
     1.59811     1.63270     0.78131    25.56129    74.71013     1.88298     2.12532
    -0.53845    -0.58976    -1.65694    17.83519    67.32205     2.49703     2.02599
    -1.74309    -1.78976    -0.50816    13.36184    63.96516     2.61143     1.89836
    -1.20717    -0.76796    -0.55177    17.18038    66.81035     2.59501     2.05730
     0.11509     0.22200    -0.64459    21.41148    70.46110     2.30616     2.21915
     1.10833     1.25033    -0.06044    24.20240    73.24735     2.01478     2.11012
    -1.85038    -1.51958    -1.03790    13.34291    63.95145     2.61362     1.89990
    -0.86223    -0.76695    -0.13531    18.28307    67.69452     2.57799     2.13945
    -1.03414    -1.01788    -2.37274    15.22881    65.32173     2.53870     1.90486
    -0.40040    -0.35784     0.26144    20.42687    69.54884     2.46433     2.27096
    -1.28464    -0.95803    -2.72414    14.63901    64.88614     2.51288     1.86227
     0.34119     0.41357     0.42022    22.97100    71.99522     2.22537     2.24255
     0.91386     0.53539     0.65373    23.95264    72.99512     2.12842     2.21248
    -0.94532    -0.85276    -0.92099    17.13848    66.77722     2.59197     2.05149
    -1.12710    -0.61178    -2.43448    16.01003    65.90376     2.48478     1.89720
     0.58281     0.46146    -1.45822    21.53115    70.56710     2.18212     2.11533
     0.01261    -0.22713    -0.82556    20.31051    69.43527     2.40435     2.20715
    -0.60339    -0.64355     1.02369    20.04316    69.20330     2.50188     2.26362
     0.13399    -0.04764    -0.66565    20.97495    70.04910     2.35737     2.22927
    -1.31086    -1.07115    -1.14570    15.59449    65.59793     2.61949     1.98332
     0.37477     0.71901     0.01386    23.02094    72.04281     2.17836     2.19816
     0.04948    -0.10116    -0.17600    21.23452    70.29756     2.37633     2.26801
    -1.17881    -1.47614    -0.34210    15.55996    65.57312     2.63921     1.99741
     1.11134     1.56704    -0.00886    24.46169    73.51726     1.97212     2.08800
     1.26752     1.22044     1.49704    25.53689    74.68803     1.92450     2.16783
    -1.82044    -2.05901    -0.13124    12.87772    63.61809     2.57154     1.86140
    -0.32225    -0.31961     0.92720    21.17780    70.24789     2.42274     2.30417
     0.42724     0.44054     0.23948    22.95636    71.97990     2.21673     2.23298
     0.18618     0.11223     0.94018    22.74004    71.76619     2.27935     2.28160
     0.05043     0.18077    -0.32610    21.56816    70.61363     2.32186     2.24494
     1.68647     1.84154     0.48261    25.49163    74.62938     1.86749     2.09836
     0.55394     0.60031     0.11636    23.19337    72.21743     2.17612     2.20656
     0.92137     0.91292     0.21054    23.99300    73.03333     2.07841     2.16149
     0.76794     0.80268    -0.20926    23.34598    72.36957     2.12330     2.16151
    -1.18283    -1.09554    -0.45539    16.47945    66.26893     2.62907     2.03844
     1.23838     0.89511     0.79504    24.74684    73.82732     2.02312     2.17659
    -0.05919    -0.33636    -0.09637    20.69247    69.79147     2.43278     2.26968
     1.65263     1.48714     1.92528    26.26157    75.51353     1.81910     2.14930
     0.17946     0.29651    -0.31185    21.93337    70.96648     2.28426     2.23561
    -0.50249    -0.72537    -0.59346    18.61436    67.96612     2.54618     2.14579
     1.10365     1.08187     0.06034    24.17698    73.22247     2.03714     2.13250
     0.15229     0.15605    -0.86674    21.14120    70.20268     2.31191     2.20306
    -0.20006    -0.36885     0.73489    21.12631    70.19939     2.42788     2.30447
    -0.08629    -0.13077     1.14271    22.07550    71.11084     2.34932     2.30537
    -1.04150    -0.93068    -0.04749    17.59275    67.13767     2.60592     2.09964
     0.19332     0.01578     0.49143    22.23596    71.26677     2.31857     2.28742
    -0.65957    -0.64042    -0.54244    18.58388    67.94074     2.54730     2.14348
     0.14915     0.03925     0.79179    22.45725    71.48537     2.30574     2.28932
    -0.11158    -0.10413    -0.45610    20.72273    69.81597     2.39686     2.24109
     0.11360     0.04190    -0.26102    21.49514    70.54471     2.34162     2.25739
     2.06246     1.95887     2.61279    27.10055    76.51530     1.67421     2.07192
     0.54660     0.39035    -0.17434    22.65187    71.67422     2.22269     2.22057
    -0.98624    -1.17974    -0.46536    16.64568    66.39670     2.62730     2.04748
    -0.52952    -0.59625    -0.23617    19.21974    68.47884     2.52805     2.19589
     1.16987     1.44863     0.70407    25.05292    74.15241     1.95185     2.13396
    -0.61210    -0.35741    -0.14477    19.68433    68.88126     2.49303     2.21701
     1.13888     0.95746     0.71259    24.65540    73.72922     2.02686     2.17022
    -0.12114    -0.64171     1.68956    21.29117    70.35564     2.41898     2.31065
    -1.87944    -1.63880    -2.35670    11.78286    62.83332     2.53461     1.85095
     0.39601     0.36579    -0.28134    22.33841    71.36329     2.24567     2.22435
     0.49365     0.80808    -0.23419    23.02547    72.04595     2.15366     2.17331
    -1.03855    -1.10699     0.98040    17.99250    67.45789     2.58713     2.11950
     0.67402     0.72772     0.61318    23.89545    72.93495     2.12077     2.19916
    -0.79335    -0.46089    -2.75288    16.81762    66.51572     2.41594     1.88163
     1.68916     1.76267    -0.79348    24.26527    73.30381     1.89745     1.98449
    -1.76775    -1.97694    -0.88826    12.45322    63.31423     2.58535     1.87429
     0.97088     1.25065     0.29612    24.39784    73.45371     2.01842     2.13314
    -0.55886    -0.47050     0.24470    19.89302    69.06804     2.50008     2.24593
    -1.18141    -1.46447    -0.33251    15.59578    65.59994     2.63942     1.99929
    -1.31661    -1.44558    -0.18176    15.50809    65.53437     2.64021     1.99570
     1.02622     1.27940    -0.50337    23.72631    72.75326     2.02374     2.08113
    -0.52932    -0.40700     0.15422    20.00339    69.16587     2.48863     2.24792
    -0.80824    -0.76749    -1.05152    17.49158    67.05396     2.56976     2.05989
     1.56794     1.97646     2.97822    26.92235    76.29779     1.69324     2.08279
     0.02422    -0.16825     1.00762    22.07201    71.10754     2.35126     2.30711
    -2.06188    -2.04694    -1.16749    11.40627    62.55993     2.54222     1.87598
     0.30873     0.41337     0.24912    22.78199    71.80547     2.23529     2.24078
    -1.09583    -1.21256     1.11004    17.68345    67.20889     2.58956     2.09382
     2.69832     2.73957     2.11925    27.47974    76.97979     1.59196     1.99308
     0.07293    -0.01365    -0.86481    20.75226    69.83928     2.35478     2.20700
     2.05026     2.23064     1.51917    26.64351    75.96050     1.73134     2.09966
    -0.01096    -0.31403    -0.43101    20.49054    69.60335     2.42640     2.24452
    -0.62007    -0.55387     0.80300    20.05631    69.21483     2.49893     2.26243
    -2.13719    -1.74252    -2.46998    10.91385    62.20036     2.49087     1.86863
     0.66736     0.38955     1.13705    23.87454    72.91602     2.15779     2.23731
    -0.24290    -0.22997    -1.56187    19.19513    68.44332     2.40759     2.08772
     0.54392     0.94062    -0.98022    22.48102    71.49786     2.12095     2.11141
    -0.22328    -0.13823    -0.92761    20.02034    69.17211     2.41101     2.18247
    -0.46566    -0.45351     0.37618    20.20932    69.35192     2.48436     2.26601
    -1.40280    -1.24841    -1.59747    14.48603    64.77820     2.61159     1.93075
    -1.80658    -2.01535    -0.89576    12.26932    63.18253     2.57734     1.87074
    -1.23703    -1.48249     0.57843    16.24699    66.09074     2.61950     2.01767
    -0.30211    -0.29971    -1.92472    18.63320    67.96612     2.40484     2.02325
     0.35305    -0.04191     0.11591    22.01625    71.05072     2.32469     2.27886
     0.38185    -0.00770    -0.36870    21.65823    70.70095     2.32224     2.25185
    -0.04443    -0.09862     0.29180    21.52809    70.57941     2.37555     2.29042
     3.14125     3.41911     0.60901    26.83101    76.17868     1.63793     2.02232
     1.62233     1.98207     0.47224    25.50221    74.64024     1.85955     2.09099
    -0.45118    -0.17586     0.66784    21.04377    70.12037     2.41998     2.29018
     0.11723     0.35962     0.68231    22.81765    71.84228     2.25086     2.25826
    -0.59657    -0.07317    -0.10783    20.30004    69.42938     2.43738     2.23481
    -0.75478    -0.98642    -0.16045    17.90783    67.39012     2.59673     2.11979
    -0.14537    -0.39290    -1.28176    19.28469    68.52472     2.44076     2.12683
    -0.42076    -0.63328    -0.30923    19.25346    68.50759     2.52440     2.19650
    -1.95012    -1.63417    -0.85425    13.01006    63.71276     2.60359     1.88787
    -0.47538    -0.84796     1.30711    19.96728    69.13533     2.50541     2.25877
     1.57119     1.28874     0.36465    24.98291    74.07577     1.95145     2.12466
    -1.07150    -1.07654    -0.89139    16.32995    66.15396     2.62059     2.02258
    -0.07609    -0.54611     0.71619    20.91470    70.00117     2.44714     2.30293
    -0.73171    -0.75940     1.19082    19.64288    68.84797     2.52144     2.23708
    -0.46940    -0.42748    -0.44858    19.49951    68.71853     2.49501     2.19825
    -0.54198    -0.40983    -0.91182    18.95247    68.24561     2.49440     2.13681
     0.06772     0.31920    -1.00149    21.13339    70.19296     2.28675     2.18022
    -0.34015    -0.02398    -1.36443    19.60638    68.79969     2.38711     2.11631
    -0.48087    -0.79073     0.25965    19.29214    68.54327     2.54254     2.21665
    -0.49748    -0.80720     0.26290    19.22476    68.48534     2.54615     2.21232
    -0.23175     0.08074    -1.09083    20.22916    69.35641     2.36482     2.16454
    -0.72875    -0.59598    -0.39846    18.69863    68.03674     2.54571     2.15427
     0.86205     1.21384     1.53010    25.18460    74.29915     1.96694     2.16759
    -0.01670     0.01864     0.41573    21.88258    70.92132     2.34482     2.28814
    -0.98556    -0.91076    -0.76539    17.06415    66.71989     2.60318     2.05560
    -0.58821    -0.74291     1.05109    19.85135    69.03243     2.51415     2.25365
     0.28925     0.53918     0.53919    23.16478    72.19005     2.20289     2.23205
     0.73143     0.36278     0.50010    23.41855    72.44785     2.18832     2.23452
     0.38336     0.52191    -0.80245    22.01693    71.04383     2.21580     2.17683
     1.99911     2.03109     1.05769    26.22690    75.46792     1.78737     2.11172
     0.51605     0.53321     0.09651    23.05132    72.07444     2.19335     2.21523
    -0.38735    -0.20267    -0.50353    20.04710    69.20024     2.44525     2.21508
     1.21482     1.02446     0.66169    24.74010    73.81878     2.01100     2.16220
     0.79923     0.69708     1.96621    24.89596    73.98983     2.03219     2.20398
    -0.91520    -1.02303     0.96045    18.44904    67.83152     2.57514     2.15403
     0.44855     0.61682     0.09092    23.06652    72.08937     2.18589     2.20857
     0.17850     0.18403    -0.89338    21.19386    70.25212     2.30283     2.19925
     1.90642     1.80717     1.10542    26.10105    75.32338     1.81535     2.12537
    -0.20291    -0.02719    -1.42007    19.76995    68.94278     2.37046     2.11999
     0.88811     1.03305    -0.03494    23.84673    72.88069     2.06958     2.13986
    -0.49954    -0.29838     0.65015    20.70407    69.80405     2.44887     2.28452
     0.86172     0.74009     0.93773    24.35466    73.41354     2.08110     2.19820
     0.34482     0.31649    -0.49752    21.99710    71.02743     2.26195     2.21887
     1.10822     1.18161    -0.75028    23.48407    72.50495     2.02713     2.06850
    -0.34129     0.00277    -0.39142    20.60885    69.71020     2.40054     2.23354
     0.37584     0.07186    -0.77834    21.38373    70.43429     2.30491     2.21588
    -2.11635    -2.15160    -0.75691    11.45556    62.59680     2.52894     1.86162
    -0.05423     0.20968    -0.55758    21.23500    70.29369     2.32853     2.22553
     0.36810     0.39363     0.13679    22.73036    71.75366     2.23562     2.23799
     1.29454     1.40013     0.52089    24.97798    74.07079     1.95497     2.12802
    -2.76097    -2.93771    -1.79414     7.82485    59.69437     2.24074     2.04504
    -0.08446    -0.05618     0.86096    22.00908    71.04551     2.34836     2.30000
     0.72853     0.65358    -0.58541    22.78092    71.79966     2.15524     2.16084
    -0.78317    -0.41574    -1.57071    17.85007    67.33359     2.49193     2.02301
    -0.80290    -0.96072    -0.13294    17.90857    67.39075     2.59718     2.12021
    -0.00873     0.17238    -2.04309    19.83467    68.98855     2.26887     2.03904
     0.15440     0.82788    -1.55806    21.32236    70.36354     2.16134     2.08328
     0.29988    -0.29731     0.70739    21.96574    71.00386     2.36021     2.30854
     0.42585     0.07913     0.68222    22.79375    71.81960     2.27124     2.27730
    -0.86620    -0.68688    -2.15030    16.56772    66.32903     2.50549     1.94198
    -2.70374    -2.40857    -2.63454     8.23227    60.05533     2.29113     2.03338
     0.40814     0.42289     0.83565    23.40089    72.43032     2.19699     2.24201
     0.38033     0.52055     0.89854    23.53938    72.57104     2.17831     2.23240
    -0.72789    -1.11454     0.44536    18.16134    67.59596     2.59081     2.13891
     1.99029     2.11224     0.58703    25.89438    75.08138     1.80932     2.09086
     0.35943     0.60274     0.36631    23.18425    72.20901     2.18994     2.22011
    -1.18346    -1.20980    -0.91380    15.71770    65.69096     2.63185     1.99901
    -0.81873    -0.68477    -0.69811    18.02318    67.48054     2.56485     2.10261
    -1.77961    -1.53178    -1.26253    13.23465    63.87370     2.61193     1.89694
     0.57545     0.56224     0.44583    23.46007    72.48909     2.16932     2.21743
     1.22576     1.27900    -1.01190    23.39918    72.41664     1.99551     2.02977
    -0.92490    -1.01326    -0.56020    17.12089    66.76499     2.61197     2.06728
     0.43157     0.23651     0.93349    23.24070    72.26878     2.22622     2.26115
    -1.36078    -1.44758     0.43727    15.96506    65.87712     2.62587     2.00734
    -0.57592    -0.52656    -0.19844    19.33181    68.57507     2.52031     2.20158
     1.76628     1.85778     0.81151    25.81760    74.99712     1.84072     2.11447
     0.59684     0.33643     0.33518    23.09612    72.12115     2.21462     2.23980
     1.57537     1.77021     0.00017    24.95343    74.03822     1.90344     2.06667
     1.10220     1.16011    -0.41738    23.78875    72.81821     2.03286     2.09547
     1.20208     1.17462     0.56657    24.77608    73.85580     1.99374     2.14705
     1.41490     1.52616     1.47232    25.84656    75.03445     1.86883     2.14903
     0.49050     0.37576     1.02435    23.57622    72.60953     2.18676     2.24416
     1.09216     0.93449     0.28673    24.23888    73.28897     2.05449     2.15750
     1.20687     1.67043    -1.43920    23.21128    72.22293     1.92895     1.95048
     0.28850     0.47499     0.47212    23.02787    72.05222     2.21778     2.23843
     0.48189     0.40828     0.13261    22.88386    71.90699     2.21993     2.23175
     0.23052     0.51408     1.23755    23.58202    72.61487     2.17865     2.23570
    -1.21305    -0.80606    -0.99448    16.63540    66.38659     2.59450     2.01953
     0.60116     0.81773    -0.95008    22.45709    71.47478     2.13528     2.12405
    -0.27960    -0.05858    -0.65379    20.34632    69.46823     2.40545     2.21179
    -0.90348    -0.67597    -0.68802    17.88833    67.37165     2.56896     2.09365
     0.87495     1.40701    -1.67186    22.53070    71.54107     1.98189     1.97707
    -0.69397    -0.81701    -0.03223    18.57706    67.93768     2.57111     2.16368
