      ThetaG      Theta2      Theta3      Theta4      Ex_Raw    Ex_Scale    Raw_CSEM  Scale_CSEM
    -1.11989     0.92830     0.50442    -0.30353    17.79560    67.29827     2.58418     2.09839
    -0.01899    -0.12609    -1.24208    -1.11137    19.56668    68.77113     2.44095     2.15896
     1.22823     0.55257     0.36535    -1.22991    24.29206    73.33778     1.97160     2.06982
     0.42671    -1.98878    -1.52236    -1.40978    19.22063    68.45570     2.32791     2.02115
     1.73927    -2.17271    -0.74897     1.34649    24.70589    73.75790     1.80372     1.91510
     2.74363    -0.13626    -0.38740     1.58558    27.43208    76.92154     1.57204     1.97673
     1.03447    -0.05733     2.13587     0.41860    25.17953    74.28697     1.91267     2.10613
    -1.04081    -0.45338     0.03380     0.43995    17.01459    66.68150     2.60738     2.05570
    -2.00262    -1.15539    -0.30667     1.51873    12.04536    63.02414     2.49043     1.80444
     0.51522     0.08442     1.21469     1.88230    24.87637    73.96659     2.01608     2.18324
    -0.62923    -0.79824     0.35593    -0.44322    18.15331    67.58161     2.51465     2.07126
    -1.33026    -1.01740    -1.56460    -0.80760    12.38818    63.26743     2.58131     1.87225
    -1.25341    -0.59688     0.73110     1.32996    17.13436    66.77345     2.58427     2.04489
    -0.61016     1.74778    -1.40557    -0.36319    19.14384    68.41221     2.51736     2.17857
    -0.08383     0.55795    -0.33580    -0.19922    21.35817    70.41676     2.38549     2.28608
    -0.03032     0.05357    -1.59222     0.99273    21.10246    70.17704     2.43159     2.30609
     1.29696     2.94910    -0.68517    -0.09007    26.30055    75.55995     1.81797     2.15264
    -1.63658    -0.82972    -0.43449    -0.27071    12.51574    63.35880     2.58898     1.87676
     0.97383     0.96260    -1.38620     1.61176    25.39471    74.53934     2.01196     2.24586
     1.60752     1.29308    -0.10045    -1.14170    25.37990    74.50288     1.86285     2.07629
    -0.86438    -1.09638    -0.36349    -0.28660    16.27726    66.11207     2.59195     1.99636
     1.63262    -0.14730    -0.56697     1.04255    25.84486    75.03039     1.85419     2.13267
     0.89538    -1.15433     1.13728    -0.65626    23.01072    72.02522     2.03979     2.05626
     0.56783    -0.46822     0.31732    -0.61518    22.53142    71.55098     2.17337     2.16563
    -0.78354    -1.75698     0.85546    -1.54792    15.98591    65.88479     2.46642     1.88215
     1.80395     0.09164    -0.38139    -0.44699    25.39072    74.51811     1.88250     2.10125
     1.23591     3.07685    -1.52266    -0.93326    25.25994    74.37488     1.90860     2.11078
    -0.20401     0.95048     1.03244     1.18154    23.15618    72.18567     2.26858     2.29855
     0.15033    -0.65934     1.79485     0.69229    22.83073    71.85071     2.17336     2.18101
     2.72009    -0.40078    -0.09690     1.20757    27.13144    76.54869     1.60095     2.00330
     0.49429    -0.21315     1.01324    -1.40618    22.13570    71.15630     2.14116     2.11369
    -0.86965    -1.82865     2.88112    -0.68529    17.58467    67.11256     2.37941     1.90429
     0.56260    -1.88819    -1.04507    -0.44294    20.87606    69.94651     2.25925     2.13365
    -1.22375    -0.78571    -0.02250     0.11021    15.41533    65.46420     2.62156     1.97673
     0.95892     0.92347     0.12343    -0.17847    24.81257    73.89732     2.01384     2.17367
     0.78689     1.19627    -2.15620    -1.01259    22.83936    71.86172     2.21333     2.22188
    -0.01826    -1.00495     0.34353     0.77790    21.38322    70.43520     2.31908     2.22755
     1.17885     0.65935    -1.01372    -0.02412    24.79683    73.88214     2.02976     2.19002
     0.27451     1.01430     0.14459     0.14671    23.46231    72.49387     2.20645     2.25631
    -1.10506     0.39859     0.60282    -0.67107    17.11204    66.75588     2.58403     2.04275
     1.40160     0.55381    -0.26025     1.45243    26.26270    75.51824     1.84385     2.17542
    -1.49126     0.79584    -0.10385    -0.38108    15.14069    65.26032     2.62521     1.96750
    -0.71183     1.10996     0.43279     0.13988    20.17382    69.32049     2.49172     2.26857
    -2.05714    -0.41736    -0.62023     0.10821    11.04771    62.29897     2.50598     1.86980
    -0.44851    -1.87170    -1.51901    -0.57656    16.30825    66.13366     2.55732     1.96979
     1.21975    -0.26033     1.47307    -0.04760    24.88179    73.96269     1.92415     2.08120
     1.21726    -0.58733    -2.43802    -1.34342    22.26269    71.28373     2.17382     2.15226
     1.80572    -1.44947    -1.56911    -1.04712    23.52917    72.54793     1.96747     2.00795
     2.65821     0.24609     1.31937    -0.24651    26.90364    76.26962     1.65292     2.04213
     0.49105    -1.30066     0.77599    -1.66342    20.91891    69.97666     2.15286     2.04633
    -1.08263     0.31147     1.20058     0.77073    18.86375    68.17698     2.55295     2.17836
    -0.71737    -0.96389     0.27848    -0.60050    17.39252    66.97265     2.53486     2.02209
    -0.43022     2.18348     1.59811     0.33744    23.03700    72.06393     2.25649     2.27757
    -0.02583    -0.53845    -0.28315    -1.83787    19.23044    68.46801     2.35917     2.04982
    -1.74309    -0.40626     0.45546    -1.20717    12.46312    63.32117     2.56544     1.85846
     1.73328     0.77731     0.11509     0.47042    26.47159    75.76046     1.79103     2.14365
    -0.74109     1.10833     0.73825    -0.61010    19.63516    68.83598     2.47808     2.19818
    -1.85038     1.19379     0.42382    -0.86223    13.77679    64.26282     2.58230     1.88550
     0.30476     0.55426    -1.03414    -0.05328    22.36919    71.39801     2.30836     2.28656
    -2.31742    -0.40040     0.13432     0.67041    10.99944    62.26579     2.47397     1.84623
    -1.28464     1.24300    -2.12593     0.34119    15.39004    65.44343     2.57756     1.94272
     0.34976     0.41824     0.91386    -1.50856    22.15189    71.17369     2.16367     2.13478
    -0.35595    -0.94532     0.28329    -0.40065    19.17349    68.42962     2.44945     2.12211
    -1.12710     2.06794    -1.57380     0.58281    17.58650    67.12868     2.55522     2.05690
    -0.44930    -2.44743     0.01261    -1.02277    16.68720    66.41823     2.46336     1.91370
    -1.43161    -0.60339    -0.24317     1.65853    15.54527    65.56014     2.59752     1.96472
     0.13399    -0.76015    -1.22022    -1.31086    19.44310    68.65763     2.39904     2.10877
     0.86857    -0.21761     0.37477     1.51526    24.93258    74.02441     1.98638     2.15668
     0.28871     0.04948    -0.63772    -0.48837    21.77928    70.81778     2.31049     2.24970
    -1.17881    -1.41024    -0.09467     1.11134    15.78264    65.73756     2.58868     1.96828
     2.07884    -0.06839     1.26752    -0.05076    26.20436    75.43602     1.75139     2.07061
     0.99048    -1.82044    -1.23535     0.69857    22.89873    71.91468     2.09477     2.10278
    -0.32225    -0.02696     1.41006     0.42724    21.54140    70.58986     2.34717     2.26575
     0.10756     0.03850     0.18618    -0.29389    21.80980    70.84742     2.30846     2.24979
     0.96653     0.05043     0.56285    -0.25355    24.26379    73.31323     2.03088     2.13381
     1.68647     0.86266    -0.28489     0.55394    26.42148    75.70288     1.81010     2.15802
     0.26387    -0.15455     0.92137     0.07323    22.77535    71.79714     2.20829     2.21350
    -0.36560     0.76794     0.23957    -0.73417    20.40498    69.52394     2.42085     2.23067
    -1.18283     0.23257     0.34850     1.23838    17.92078    67.40062     2.59693     2.12116
    -1.31966    -0.34053    -0.05919    -1.19125    14.22615    64.58847     2.60033     1.91309
    -0.50556     1.65263    -0.51092     1.09881    21.48603    70.54387     2.43246     2.33857
     0.17946     0.52138    -0.34270    -0.50249    21.98066    71.01455     2.30756     2.26023
    -1.01186    -0.76042     1.10365     0.03791    17.42472    66.99954     2.55200     2.03945
    -0.70155     0.15229     0.03412    -1.20800    17.83763    67.32673     2.52619     2.05170
    -0.20006    -0.74489     0.82000    -0.08629    20.56877    69.66943     2.36722     2.20064
    -0.20031     1.45506    -1.04150     0.34986    21.57679    70.62935     2.40938     2.32492
     0.81160     0.19332    -0.73560     0.22885    23.90946    72.95038     2.13131     2.21201
    -0.65957     0.00355    -0.22036     0.14915    18.84114    68.15757     2.55072     2.17408
    -0.45184     0.74665    -0.11158     0.01855    20.42803    69.55062     2.47067     2.27657
    -0.49782     0.11360    -0.29284    -0.52045    19.04064    68.32323     2.51439     2.16412
