      Theta1      Theta2      Theta3      Ex_Raw    Ex_Scale    Raw_CSEM  Scale_CSEM
    -0.34331    -0.33434    -0.24922    19.93128    69.10975     2.47512     2.20616
    -0.53086    -0.44174    -0.48787    19.10642    68.40133     2.51348     2.12927
     0.59299     0.64069     1.07610    24.15647    73.20800     2.12656     2.22752
     1.18814     0.93144    -0.09214    23.91654    72.95294     2.06917     2.14447
    -0.42674     0.62641    -1.14225    20.37296    69.48511     2.29703     2.11033
     0.02552    -0.46840    -0.27047    20.23837    69.38121     2.44510     2.21863
    -0.19832    -0.43305     0.19828    20.46335    69.58875     2.46453     2.26003
    -1.06380    -0.93762    -0.70048    16.62230    66.48614     2.62628     1.92245
    -0.37327    -0.41922    -0.86016    19.05370    68.35150     2.47554     2.09064
     0.26304     1.10528    -0.96490    22.14667    71.16706     2.13465     2.10657
    -1.05459    -0.47877    -1.65302    16.80363    66.60698     2.51076     1.84365
     1.43668     1.84756    -0.21753    24.70015    73.76615     1.91971     2.05390
    -1.11989    -0.62389    -0.78647    17.13898    66.86080     2.59132     1.94359
    -0.30353    -0.28322    -0.28477    20.06317    69.22559     2.46142     2.21105
    -1.24208    -1.59494     0.28302    15.56448    65.73890     2.66166     1.87907
     0.55257     0.65511    -0.50976    22.51268    71.53308     2.18437     2.17403
     0.42671    -0.45188     0.02858    21.14699    70.21776     2.38857     2.26514
    -1.40978    -0.54470    -2.94545    15.07751    65.39482     2.44882     1.69586
    -0.74897    -0.11120     0.73210    20.58922    69.70436     2.46287     2.27200
    -0.13626    -0.28693     1.03136    21.66916    70.71877     2.38937     2.30815
     1.03447     0.91378     2.08144    25.62924    74.79428     1.93600     2.19232
     0.41860    -0.05943     0.36665    22.24731    71.27826     2.31422     2.28181
     0.03380     0.21620    -1.38239    20.36134    69.47236     2.27821     2.09250
    -1.15539    -1.17694     0.24892    16.82993    66.63935     2.65257     1.96275
     0.51522     0.50276     1.09237    23.90660    72.94919     2.15879     2.23981
     1.88230     1.44131     1.03277    26.01375    75.22809     1.86419     2.16620
     0.35593     0.13579    -0.43210    21.63629    70.67890     2.29906     2.22598
    -1.01740    -1.58237    -0.67950    15.08376    65.40524     2.64691     1.84870
    -1.25341    -1.38822    -0.21331    15.55076    65.72985     2.67191     1.88655
     1.32996     0.94854     2.23508    26.00739    75.22321     1.88185     2.18403
    -1.40557    -1.42762    -0.91069    14.33888    64.89390     2.65893     1.84374
     0.55795     0.36427     0.38091    23.09756    72.12315     2.22251     2.24677
    -0.03032    -0.00490    -1.03722    20.22904    69.36055     2.35010     2.13809
     0.99273     1.44712     2.09603    26.06625    75.28880     1.85745     2.16541
    -0.68517    -0.65924    -1.47363    17.35758    67.01451     2.51102     1.89996
    -0.82972    -0.93556    -0.60050    17.25333    66.94750     2.60779     1.96929
     0.97383     1.28897    -0.51844    23.58323    72.60689     2.03657     2.08444
